354,721,187,602,893
438,279,550,146,933
812,661,924,,337
519,64,805,454,289
26,360,972,621,509
789,45,676,298,814
183,912,100,579,675
884,207,15,865,463
392,22,846,778,720
623,309,483,532,47
954,83,230,191,964
631,536,277,167,389
849,337,506,636,797
74,875,128,,825
63,997,835,56,933
399,370,980,74,453
188,330,745,461,644
930,616,239,249,733
77,460,274,277,486
315,841,258,286,595
897,454,824,457,954
532,552,346,985,837
10,434,578,954,810
640,451,666,898,652
255,761,595,731,678
306,726,933,558,388
367,372,737,739,380
659,269,935,320,805
992,694,154,862,352
172,327,819,152,951
576,628,836,795,881
954,612,657,172,703
367,177,682,737,529
229,958,646,242,92
917,900,36,58,
926,637,,309,241
893,864,282,234,591
671,197,424,493,324
961,346,441,456,523
267,82,236,531,390
252,588,466,139,364
679,661,317,787,665
800,330,992,330,157
898,532,698,54,643
470,347,750,943,723
699,89,570,865,868
935,471,932,330,926
854,184,517,837,253
274,341,740,31,745
669,505,493,171,385
653,378,308,239,297
346,916,441,473,196
581,844,392,423,481
57,373,390,838,605
691,585,63,300,487
683,258,758,440,863
672,420,890,441,991
437,954,224,264,134
298,347,491,682,79
533,714,420,352,245
413,44,430,220,172
849,49,715,609,424
811,388,549,353,574
704,283,367,460,457
776,884,916,270,216
220,837,812,879,385
811,731,731,868,511
23,582,816,225,932
872,13,298,246,956
978,550,911,489,131
279,836,706,316,26
874,79,314,139,51
407,165,626,194,187
870,903,84,648,52
78,471,655,234,644
248,278,348,632,899
739,408,303,789,958
841,657,,561,134
963,682,857,289,172
748,29,960,754,834
238,480,766,282,803
929,229,195,776,939
144,154,518,491,758
687,831,853,484,736
788,836,622,139,571
753,234,574,167,576
905,,999,571,324
227,155,478,809,821
364,753,522,741,215
,915,425,939,312
919,417,937,79,439
273,836,581,239,254
798,442,785,139,262
